,timestamp,Values_Type,GeneReal
273,2023_Q1_holidays_15h,SOLAR,242237.74444444446
274,2023_Q1_holidays_15h,TERMICA,1437274.11
275,2023_Q1_holidays_16h,COGENERADOR,95179.77444444444
276,2023_Q1_holidays_16h,EOLICA,23552.943333333333
277,2023_Q1_holidays_16h,HIDRAULICA,6582735.272222223
278,2023_Q1_holidays_16h,SOLAR,211235.45
279,2023_Q1_holidays_16h,TERMICA,1456129.221111111
280,2023_Q1_holidays_17h,COGENERADOR,94165.19888888889
281,2023_Q1_holidays_17h,EOLICA,24351.963333333333
282,2023_Q1_holidays_17h,HIDRAULICA,6588918.675555555
283,2023_Q1_holidays_17h,SOLAR,127518.44666666667
284,2023_Q1_holidays_17h,TERMICA,1481142.0344444446
285,2023_Q1_holidays_18h,COGENERADOR,95627.1211111111
286,2023_Q1_holidays_18h,EOLICA,25488.187777777777
287,2023_Q1_holidays_18h,HIDRAULICA,6688396.514444444
288,2023_Q1_holidays_18h,SOLAR,25168.343333333334
289,2023_Q1_holidays_18h,TERMICA,1484831.628888889
290,2023_Q1_holidays_19h,COGENERADOR,94688.48777777777
291,2023_Q1_holidays_19h,EOLICA,25570.658888888887
292,2023_Q1_holidays_19h,HIDRAULICA,7382130.587777778
293,2023_Q1_holidays_19h,SOLAR,20.903333333333332
294,2023_Q1_holidays_19h,TERMICA,1502836.4633333334
295,2023_Q1_holidays_1h,COGENERADOR,106894.27666666667
296,2023_Q1_holidays_1h,EOLICA,21923.94777777778
297,2023_Q1_holidays_1h,HIDRAULICA,6367347.737777778
298,2023_Q1_holidays_1h,SOLAR,0.0
299,2023_Q1_holidays_1h,TERMICA,1460101.1233333333
300,2023_Q1_holidays_20h,COGENERADOR,93366.89555555556
301,2023_Q1_holidays_20h,EOLICA,24723.384444444448
302,2023_Q1_holidays_20h,HIDRAULICA,7717307.182222222
303,2023_Q1_holidays_20h,SOLAR,0.0
304,2023_Q1_holidays_20h,TERMICA,1508538.211111111
305,2023_Q1_holidays_21h,COGENERADOR,94205.04666666668
306,2023_Q1_holidays_21h,EOLICA,24282.775555555556
307,2023_Q1_holidays_21h,HIDRAULICA,7621698.737777778
308,2023_Q1_holidays_21h,SOLAR,0.0
309,2023_Q1_holidays_21h,TERMICA,1496961.1855555556
310,2023_Q1_holidays_22h,COGENERADOR,96457.09000000001
311,2023_Q1_holidays_22h,EOLICA,24295.21888888889
312,2023_Q1_holidays_22h,HIDRAULICA,7368465.395555556
313,2023_Q1_holidays_22h,SOLAR,0.0
314,2023_Q1_holidays_22h,TERMICA,1483494.8544444444
315,2023_Q1_holidays_23h,COGENERADOR,94771.78111111111
316,2023_Q1_holidays_23h,EOLICA,23328.704444444444
317,2023_Q1_holidays_23h,HIDRAULICA,6962692.672222222
318,2023_Q1_holidays_23h,SOLAR,0.0
319,2023_Q1_holidays_23h,TERMICA,1491330.0622222223
320,2023_Q1_holidays_2h,COGENERADOR,106392.22333333333
321,2023_Q1_holidays_2h,EOLICA,19872.872222222224
322,2023_Q1_holidays_2h,HIDRAULICA,6117862.678888889
323,2023_Q1_holidays_2h,SOLAR,0.0
324,2023_Q1_holidays_2h,TERMICA,1452880.8444444444
325,2023_Q1_holidays_3h,COGENERADOR,105859.75444444445
326,2023_Q1_holidays_3h,EOLICA,18757.932222222225
327,2023_Q1_holidays_3h,HIDRAULICA,5972693.573333333
328,2023_Q1_holidays_3h,SOLAR,0.0
329,2023_Q1_holidays_3h,TERMICA,1389574.7566666668
330,2023_Q1_holidays_4h,COGENERADOR,104459.80444444444
331,2023_Q1_holidays_4h,EOLICA,19330.60777777778
