,Date,DemaReal_Sistema,DemaCome_Sistema,Gene_Sistema,GeneIdea_Sistema,timestamp
4509,2023-06-06 21:00:00,10364447.76,10506663.71,10505179.12,10506663.71,2023_Q3_labor_21h
4510,2023-06-06 22:00:00,9886891.18,10040605.52,10039106.09,10040605.52,2023_Q3_labor_22h
4511,2023-06-06 23:00:00,9181578.45,9329285.5,9329285.5,9329285.5,2023_Q3_labor_23h
4512,2023-06-07 00:00:00,8796209.0,8942399.5,8609510.16,8612399.5,2023_Q3_labor_0h
4513,2023-06-07 01:00:00,8109188.73,8258339.03,7983575.14,7983575.14,2023_Q3_labor_1h
4514,2023-06-07 02:00:00,7871831.9,8033354.17,7623711.64,7623711.64,2023_Q3_labor_2h
4515,2023-06-07 03:00:00,7653335.22,7799841.32,7404067.47,7404067.47,2023_Q3_labor_3h
4516,2023-06-07 04:00:00,7588886.58,7735880.57,7345000.35,7345000.35,2023_Q3_labor_4h
4517,2023-06-07 05:00:00,7780550.61,7919322.57,7535463.38,7535463.38,2023_Q3_labor_5h
4518,2023-06-07 06:00:00,8153153.19,8281929.16,7898423.24,7898423.24,2023_Q3_labor_6h
4519,2023-06-07 07:00:00,8377881.23,8508991.51,8117274.85,8117274.85,2023_Q3_labor_7h
4520,2023-06-07 08:00:00,8850054.76,8964715.53,8657612.13,8664715.53,2023_Q3_labor_8h
4521,2023-06-07 09:00:00,9320925.69,9441964.02,9265045.69,9271964.02,2023_Q3_labor_9h
4522,2023-06-07 10:00:00,9666132.77,9798346.13,9647095.66,9648346.13,2023_Q3_labor_10h
4523,2023-06-07 11:00:00,10015663.85,10166071.06,10064276.9,10076071.06,2023_Q3_labor_11h
4524,2023-06-07 12:00:00,10315498.1,10463673.2,10374180.25,10374180.25,2023_Q3_labor_12h
4525,2023-06-07 13:00:00,10224332.59,10361897.47,10212398.22,10212398.22,2023_Q3_labor_13h
4526,2023-06-07 14:00:00,10341239.67,10471805.32,10370779.62,10371805.32,2023_Q3_labor_14h
4527,2023-06-07 15:00:00,10547591.88,10684799.66,10631623.1,10634799.66,2023_Q3_labor_15h
4528,2023-06-07 16:00:00,10558686.13,10719671.44,10600244.28,10600244.28,2023_Q3_labor_16h
4529,2023-06-07 17:00:00,10437810.54,10587333.3,10427515.46,10427515.46,2023_Q3_labor_17h
4530,2023-06-07 18:00:00,10092749.34,10227469.32,9977625.58,9977625.58,2023_Q3_labor_18h
4531,2023-06-07 19:00:00,10495591.82,10627519.97,10616634.54,10627519.97,2023_Q3_labor_19h
4532,2023-06-07 20:00:00,10781651.22,10930464.62,10924203.76,10930464.62,2023_Q3_labor_20h
4533,2023-06-07 21:00:00,10577237.14,10724639.38,10724639.38,10724639.38,2023_Q3_labor_21h
