,Id,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
0,Sistema,Sistema,8077580.42,7829472.15,7668624.51,7581987.11,7767707.9,8165445.7,8358783.24,8888678.29,9463228.44,10003624.44,10409443.61,10694822.33,10557429.65,10724798.49,10877861.15,10861705.74,10694547.19,10350055.05,10716209.27,10913828.41,10720255.84,10316162.58,9532593.73,8948569.51,2023-08-28
1,Sistema,Sistema,8516881.35,8216084.67,7916461.37,7790302.29,7946299.86,8418291.07,8592088.61,9078334.05,9558150.45,9903994.34,10380428.91,10718222.99,10670526.24,10814682.71,11088086.07,11206073.42,11088973.36,10714597.55,11221703.51,11515632.81,11327483.58,10762052.17,10039789.06,9279316.27,2023-08-29
2,Sistema,Sistema,8780184.21,8477130.13,8214584.77,8101143.6,8238877.03,8604779.37,8805019.43,9349247.95,9928657.14,10390512.21,10758423.2,11046357.3,10947404.15,11127538.64,11349017.99,11443441.91,11255610.01,10899857.79,11232428.79,11475547.69,11325463.73,10737927.2,9979510.16,9280081.15,2023-08-30
3,Sistema,Sistema,8873979.82,8445682.48,8225817.1,8096107.18,8260197.53,8649374.15,8796936.71,9304956.3,9904026.56,10343938.65,10659952.22,10993807.65,11077550.8,11212443.41,11452618.76,11501489.9,11328392.29,10943969.0,11381199.93,11567236.72,11362036.73,10958961.56,10140007.67,9209747.52,2023-08-31
4,Sistema,Sistema,8777547.76,8510871.14,8290567.13,8151160.05,8291715.98,8606101.86,8769506.03,9254887.4,9951423.37,10320716.69,10685445.82,11056709.92,11048797.85,11172414.88,11371675.17,11396707.83,11302367.18,10910001.38,11180473.96,11265745.42,11056872.52,10722381.34,10242445.34,9677532.69,2023-09-01
5,Sistema,Sistema,9338374.31,9003082.78,8772586.15,8550844.98,8496304.59,8549097.2,8606386.36,9125436.32,9721987.23,10158478.3,10451365.6,10615729.96,10555091.29,10361285.98,10180029.11,10019305.61,9877395.45,9920387.55,10542059.98,10548813.17,10261386.95,9876538.48,9389153.23,8867883.22,2023-09-02
6,Sistema,Sistema,8285718.07,7923890.39,7574726.82,7314348.24,7230096.51,7116851.7,6960372.72,7293299.33,7695071.12,8031437.65,8339979.66,8622093.15,8887274.37,8895348.61,8718052.29,8712116.11,8682459.93,8721537.81,9318422.47,9582956.34,9500256.75,9194432.22,8707519.86,8224482.72,2023-09-03
7,Sistema,Sistema,7840804.9,7527144.68,7325654.59,7254902.76,7441385.34,7922405.13,8102013.55,8624781.51,9196663.95,9526878.21,9903924.26,10221247.65,10313252.85,10429273.59,10670191.15,10694650.64,10681385.03,10428054.08,10964128.17,11169891.98,10988243.08,10597327.19,9826224.79,8892550.89,2023-09-04
8,Sistema,Sistema,8431780.2,8150094.55,7932490.0,7844272.83,8020812.98,8463845.09,8630438.69,9139185.38,9839954.07,10282816.41,10721371.67,10945766.13,10935415.83,11126297.79,11307888.1,11243066.51,11072597.62,10525034.09,11131615.13,11442104.53,11235027.88,10683023.51,9925445.16,9156025.33,2023-09-05
9,Sistema,Sistema,8566104.58,8306121.38,8117480.38,8025873.42,8195233.84,8612097.01,8757586.09,9239040.8,9739025.98,10348357.1,10904487.83,11207523.58,11155614.04,11316133.21,11511616.85,11488847.75,11345892.13,10926031.39,11423560.41,11608805.19,11435074.37,10987472.02,10297779.05,9354043.7,2023-09-06
10,Sistema,Sistema,9109525.25,8856123.82,8558286.51,8272344.18,8370488.2,8792323.83,8946652.79,9500879.99,10118807.16,10492681.98,10849464.85,11145940.31,11063374.41,11226887.13,11403021.83,11394149.69,11232356.21,10916052.05,11463562.31,11544933.25,11291178.93,10727489.26,10090011.97,9533916.38,2023-09-07
11,Sistema,Sistema,8959808.34,8732134.83,8531494.59,8417713.87,8518670.87,8896941.48,9043084.94,9672248.1,10247135.05,10585473.04,10913938.46,11130455.1,11088750.38,11146765.98,11336367.06,11325426.14,11221389.48,10887343.33,11347895.48,11438781.81,11256498.47,10784573.76,10189002.1,9670067.74,2023-09-08
12,Sistema,Sistema,9121712.74,8800066.7,8601656.44,8468896.58,8466745.36,8502945.25,8581485.03,9166476.54,9697958.3,9899801.56,10502512.38,10711957.3,10573817.27,10368922.5,10254720.86,10173336.54,9992613.1,9969587.91,10558471.21,10517806.72,10230864.06,9816572.89,9369222.31,8897215.36,2023-09-09
