hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
H_Cascada,2023_Q1_labor,2.01912,0.01405
H_Cascada,2023_Q2_holidays,2.0985249999999995,0.12866999999999998
H_Cascada,2023_Q2_labor,2.09421,2.9999999999999997e-05
H_Cascada,2023_Q3_holidays,2.1837,0.4952
H_Cascada,2023_Q3_labor,2.21969,0.00923
H_Cascada,2023_Q4_holidays,1.836785,0.59411
H_Cascada,2023_Q4_labor,1.66413,0.00102
H_CascadaAbe,2023_Q1_holidays,2.4354,0.0792
H_CascadaAbe,2023_Q1_labor,2.4354,0.0066
H_CascadaAbe,2023_Q2_holidays,2.739,0.2046
H_CascadaAbe,2023_Q2_labor,2.6862,0.0066
H_CascadaAbe,2023_Q3_holidays,2.8182,0.0132
H_CascadaAbe,2023_Q3_labor,2.805,0.0066
H_CascadaAbe,2023_Q4_holidays,2.5773,0.0066
H_CascadaAbe,2023_Q4_labor,2.739,0.0066
H_CascadaAnt,2023_Q1_holidays,1.525,0.77443
H_CascadaAnt,2023_Q1_labor,1.52546,0.06211
H_CascadaAnt,2023_Q2_holidays,1.89235,0.18025
H_CascadaAnt,2023_Q2_labor,1.8473449999999998,0.00047999999999999996
H_CascadaAnt,2023_Q3_holidays,2.06048,0.00605
H_CascadaAnt,2023_Q3_labor,1.96876,0.00521
H_CascadaAnt,2023_Q4_holidays,2.21527,0.15469
H_CascadaAnt,2023_Q4_labor,2.21252,0.01326
H_CascadaGra,2023_Q4_holidays,1.05408,0.00132
H_CascadaGra,2023_Q4_labor,0.9436899999999999,5.9999999999999995e-05
H_Cauya,2023_Q1_holidays,0.44132,0.03828
H_Cauya,2023_Q1_labor,0.45627999999999996,0.00088
H_Cauya,2023_Q2_holidays,0.47872000000000003,0.0074800000000000005
H_Cauya,2023_Q2_labor,0.48004,0.00044
H_Cauya,2023_Q3_holidays,0.4136,0.00088
H_Cauya,2023_Q3_labor,0.42064,0.0022
H_Cauya,2023_Q4_holidays,0.42592,0.00088
H_Cauya,2023_Q4_labor,0.42988,0.00132
H_Chorrera,2023_Q1_holidays,8.9668,0.0004
H_Chorrera,2023_Q1_labor,8.79055,0.0009
H_Chorrera,2023_Q2_holidays,0.003,0.001
H_Chorrera,2023_Q2_labor,0.003,0.001
H_Chorrera,2023_Q3_holidays,9.106300000000001,0.0015
H_Chorrera,2023_Q3_labor,8.0751,0.00019
H_Chorrera,2023_Q4_holidays,10.4371,0.47617000000000004
H_Chorrera,2023_Q4_labor,10.366100000000001,0.00268
H_Coconuco,2023_Q1_holidays,3.12,0.069
H_Coconuco,2023_Q1_labor,3.164,0.003
H_Coconuco,2023_Q2_holidays,3.245,0.193
H_Coconuco,2023_Q2_labor,3.298,0.056
H_Coconuco,2023_Q3_holidays,2.35,0.057
H_Coconuco,2023_Q3_labor,2.425,0.016
H_Coconuco,2023_Q4_holidays,1.714,0.106
