Id,Values_Name,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Date
RecursoComb,3C4V,GAS,19.75993,19.75993,20.38299,20.38299,20.29398,19.84894,14.15238,,,,7.1207,12.2832,13.70734,14.15238,15.48751,16.46661,17.4457,17.62372,10.77005,18.95885,19.67092,17.80174,19.4929,20.02696,2024-05-01
RecursoComb,3IJF,GAS,,0.001,,,,,,,,,0.0003,,,,,,,,,,,,,,2024-05-01
RecursoComb,3KL4,GAS,15.8466,1.6332,0.7971,2.2142,1.8798,18.2607,0.9025,,,,,,,,,,,3.7188,0.6998,0.526,2.4088,1.9566,2.5649,1.1211,2024-05-01
RecursoComb,CGM1,BAGAZO,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,442.99687,2024-05-01
RecursoComb,CGM1,CARBON,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,167.24337,2024-05-01
RecursoComb,CIP1,BAGAZO,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,729.94145,2024-05-01
RecursoComb,CIP1,CARBON,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,80.09178,2024-05-01
RecursoComb,CIS1,BAGAZO,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,154.45843,2024-05-01
RecursoComb,IRG1,BAGAZO,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,689.68472,2024-05-01
RecursoComb,PNC1,BAGAZO,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,241.61763,2024-05-01
RecursoComb,PNC1,CARBON,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,222.05083,2024-05-01
RecursoComb,PPN1,GAS,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,130.65615,2024-05-01
RecursoComb,RPL1,BAGAZO,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,335.7886,2024-05-01
RecursoComb,TMB1,GAS,0.61225,,,,,,,,,,,,,,,,,,6.09696,14.1327,14.14545,14.17096,14.31127,14.35591,2024-05-01
RecursoComb,TPD1,GAS,5.09472,5.18369,4.95652,4.93101,4.99797,5.09121,5.13458,5.24625,5.38018,5.47272,5.40034,5.32419,4.12246,5.71213,9.00226,6.19932,5.38599,5.37833,5.27113,5.18222,5.15996,5.26532,5.31711,5.30212,2024-05-01
RecursoComb,2S6Q,BIOGAS,0.02047,,,,,0.03071,0.07165,0.01024,0.01024,3.12198,0.1433,0.09212,0.54251,3.25505,3.20387,0.04094,0.10236,0.29684,0.97242,0.89053,2.14956,2.72278,4.43219,7.29827,2024-05-02
RecursoComb,2S6S,CARBON,,,,0.2695,2.42554,3.4621,4.1255,2.61212,2.77797,2.75724,1.72068,2.44627,2.61212,2.7987,1.88653,1.55484,,,,,,,,,2024-05-02
RecursoComb,2S8G,CARBON,2.48083,0.34016,0.2518,0.19444,0.52217,0.26778,,,0.0114,0.13527,0.19349,2.03122,0.5289,2.82842,1.97084,1.47148,0.79029,2.16856,1.74072,1.47433,0.81136,1.536,1.30019,0.50601,2024-05-02
RecursoComb,2S8I,GAS,55.77878,53.99861,52.81183,52.21843,33.8233,42.72417,52.21843,51.03165,48.65809,48.0647,46.28452,42.72417,36.79026,29.07617,30.85635,47.4713,47.4713,48.0647,51.03165,49.25148,32.63652,29.07617,48.65809,56.37217,2024-05-02
RecursoComb,2U8Y,GAS,125.95956,125.98871,124.9271,123.72142,125.66071,126.02353,126.02468,126.00376,124.82627,122.71204,125.83545,125.70879,125.58603,125.53137,125.60452,125.71504,125.7829,125.83768,125.86785,125.89438,125.88188,125.88195,125.7014,124.32225,2024-05-02
