GENERATION_PROJECT,gen_tech,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_capacity_limit_mw,gen_storage_efficiency
H_LasPalmas,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,15,.
H_Libertad,Hidro,Water,Nordeste,200,0,.,1.39,0,.,.,.,.
H_LuzMaI,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_LuzMaII,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Magallo,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Mirolindo,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Mondomo,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Montanitas,Menores,RunofRiver,Antioquia,200,1,.,1.39,0,0.0573,0.213,.,.
H_MorroAzul,Menores,RunofRiver,Surocciden,200,1,.,1.39,0,0.0573,0.213,.,.
H_Municipal,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Naveta,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
H_Nima,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Niquia,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Nuevoliba,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Oibita,Hidro,Water,Nordeste,200,0,.,1.39,0,.,.,.,.
H_Ovejas,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Pajarito,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Pastales,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_PaticoCab,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Pocune,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Porce3Meno,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_ProvidencI,Menores,RunofRiver,Caribe,200,1,.,1.39,0,0.0573,0.213,.,.
H_Puente_Gui,Hidro,Water,Nordeste,200,0,.,1.39,0,.,.,.,.
H_Remedios,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Rio_Recio,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_RioBobo,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_RioCali,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_RioFrioI,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_RioFrioII,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_RioFrioTam,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_RioGrande,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_RioMayo,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_RioMulato2,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_RioNegro,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_RioPalo,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_RioPiedras,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_RioSapuye,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Rumor,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Sajandi,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_SanAndres2,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_SanCancio,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_SanJose,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_SanJosMoII,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_SanMatias,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_SantaAna,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
H_SantaRita,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Santiago,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_SBartolome,Hidro,Water,Nordeste,200,0,.,1.39,0,.,.,.,.
H_SFrancisPu,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Silvia,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Suba,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
H_Sueva2,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
H_TuluaAlto,Menores,RunofRiver,Surocciden,200,1,.,1.39,0,0.0573,0.213,.,.
H_TuluaBajo,Menores,RunofRiver,Surocciden,200,1,.,1.39,0,0.0573,0.213,.,.
H_Tunjita,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
H_Union,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Urrao,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Usaquen,Hidro,Water,Oriental,200,0,.,1.39,0,.,.,.,.
H_AutGold,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_VentanaA,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_VentanaB,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
H_Violetas,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_Zeus,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
INSULA,Hidro,Water,Surocciden,200,0,.,1.39,0,0.38,0.38,.,.
ITUANGO,Hidro,Water,Antioquia,200,0,.,1.39,0,.,.,.,.
H_PAGUA,Hidro,Water,Surocciden,200,0,.,1.39,0,.,.,.,.
